#===========================================================================
# LEGEND
#===========================================================================
#
#    Species 	-- Species name
#    Mol. Wt.	-- Molecular weight (kg/kmol)
#    Hform	-- Formation enthalpy (J/kg @ 0K)
#    cfs	-- Nominal T-R Degrees of freedom (cv = cfs*k*T)
#    zns	-- Charge number
#
#
#
# [DLS]: Hform (0K) taken from the site:  http://cccbdb.nist.gov/hf0K.asp
#        for species starting on line 82 of this file but also including
#        HCO and N2O.
# [DLS]:  NNH data taken from Klippenstein, Stephen J., et al.
#         "The role of NNH in NO formation and control." Combustion and Flame
#          158.4 (2011): 774-789 (see pg. 2)
#
#    Spec.     Mol. Wt.     Hform (0K),  cfs,   zns

Air	28.96000	  0.000000000000 	2.5 	 0
CPAir	28.96000	  0.000000000000 	2.5 	 0
AR	39.94400	  0.000000000000 	1.5 	 0
Ar      39.94400          0.000000000000        1.5      0
Ar+	39.94345	  3.8068120000e7 	1.5 	 1
C	12.01100	  5.9211889000e7 	1.5 	 0
C+	12.01045	  1.4967366000e8 	1.5 	 1
C2	24.02200	  3.4234785000e7 	2.5 	 0
C2H	25.03000	  2.2572910000e7 	2.5 	 0
C2H2	26.03800	  8.7548580000e6 	2.5 	 0
C3      36.03300	  2.3062193000e7 	2.5 	 0
CF	31.00940	  9.9617550000e6 	2.5 	 0
CF2	50.00780	 -2.5187600000e6 	3.0 	 0
CF3	69.00620	 -7.1992350000e6 	3.0 	 0
CF4	88.00460	 -1.0258770000e7 	3.0 	 0
CH	13.01900	  4.5627850000e7 	2.5 	 0
CH2	14.02700	  2.7803520000e7 	3.0 	 0
CH3	15.03500	  9.9559030000e6 	3.0 	 0
CH4	16.04300	 -4.1532130000e6 	3.0 	 0
Cl      35.45300	  3.3740400000e6 	1.5 	 0
Cl2     70.90600	  0.000000000000 	2.5 	 0
CN	26.01900	  1.6795420000e7 	2.5 	 0
CN+	26.01845	  6.8835800000e7 	2.5 	 1
CO	28.01100	 -4.0630824000e6 	2.5 	 0
CO+	28.01045	  4.4200904000e7 	2.5 	 1
CO2	44.01100	 -8.9328800000e6 	2.5 	 0
F	18.99840	  4.0423050000e6 	1.5 	 0
F2	37.99680	  0.000000000000 	2.5 	 0
H	 1.00800	  2.1432040000e8 	1.5 	 0
H+	 1.00745	  1.5167840000e9 	1.5 	 1
H2	 2.01600	  0.000000000000 	2.5 	 0
H2+	 2.01545	  7.3847530000e8 	2.5 	 1
H2O	18.01600	 -1.3261710000e7 	3.0 	 0
H2O2    34.01475         -3.8186669018e6        3.0      0
HCl     36.46100	 -2.5266800000e6 	2.5 	 0
HCN	27.02700	  4.8982130000e6 	2.5 	 0
HNO     31.01404          3.5467807483e6        3.0      0
NNH     29.02134          8.7078542830e6        3.0      0
He	 4.00300	  0.000000000000 	1.5 	 0
He+	 4.00245	  5.9271800000e8 	1.5 	 1
HO2     33.00681          4.5239149133e5        3.0      0
N	14.00800	  3.3621610000e7 	1.5 	 0
Ne	20.17900	  0.000000000000 	1.5 	 0
N+	14.00745	  1.3400000000e8 	1.5 	 1
N2	28.01600	  0.000000000000 	2.5 	 0
CPN2	28.01600	  0.000000000000 	2.5 	 0
N2+	28.01545	  5.3700000000e7 	2.5 	 1
NCO	42.01900	  4.2124000000e6 	2.5 	 0
NH	15.01600	  2.3867900000e7 	2.5 	 0
NH+	15.01545	  1.1050000000e8 	2.5 	 1
NH2	16.02400	  1.2036000000e7 	3.0 	 0
NH3	17.03200	 -2.2866370000e6 	3.0 	 0
NO	30.00800	  2.9961230000e6 	2.5 	 0
NO+	30.00745	  3.2834800000e7 	2.5 	 1
NO2	46.00800	  8.0420800000e5 	3.0 	 0
N2O     44.01300          1.9312475860e6        2.5      0
O	16.00000	  1.5420000000e7 	1.5 	 0
O+	15.99945	  9.7560000000e7 	1.5 	 1
O2	32.00000	  0.000000000000 	2.5 	 0
O2+	31.99945	  3.6370000000e7 	2.5 	 1
OH	17.00800	  2.2995060000e6 	2.5 	 0
Si	28.08550	  1.5868220000e7 	1.5 	 0
SiO	44.08550	 -2.2683200000e6 	2.5 	 0
e	 0.00055	  0.000000000000 	1.5 	-1
CH2(S)  14.02658          2.7854259600e7        3.0      0
CH2Q  14.02658          2.7854259600e7        3.0      0
HCO     29.01800          1.4335929400e6        3.0      0
CH2O    30.02600         -3.5076000000e6        3.0      0
CH2OH   31.03390         -3.4478425200e5        3.0      0
CH3O    31.03390          9.1512829500e5        3.0      0
CH3OH   32.04190         -5.9328566700e6        3.0      0
C2H3    27.04520          0.000000000000        2.5      0
C2H4    28.05320          2.1744399930e6        2.5      0
C2H5    29.06110          4.5352722400e6        2.5      0
C2H6    30.06900         -2.2747680300e6        2.5      0
HCCO    41.02870          4.3111000000e6        3.0      0
CH2CO   42.03670         -1.0585987800e6        2.5      0
HCCOH   42.03670          2.2552000000e6        3.0      0
H2CN    28.03330          8.6409000000e6        2.5      0
HCNN    41.03200          1.1515000000e7        3.0      0
HCNO    43.02470          3.9698000000e6        3.0      0
HOCN    43.02470         -2.8356000000e5        3.0      0
HNCO    43.02470         -2.2940311000e6        3.0      0
C3H7    43.08770          2.0887001322e6        3.0      0
C3H8    44.09560         -1.8686671700e6        3.0      0
CH2CHO  43.04460          5.2225000000e5        3.0      0
CH3CHO  44.05260         -3.6365617500e6        3.0      0
